################################################################################
# Collectl:   V4.3.0-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --cpuopts z -i 1 --sep , --procfilt P -P -f /home/centos/mathieu/brainhackmtl/logs 
# Host:       vhs-sea-project  DaemonOpts: 
# Booted:     1569957951.09 [20191001-19:25:51]
# Distro:     CentOS Linux release 7.7.1908 (Core)  Platform: 
# Date:       20191206-155933  Secs: 1575647973 TZ: +0000
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 16  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.994 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-957.12.2.el7.x86_64  Memory: 92641612 kB  Swap: 0 kB
# NumDisks:   3 DiskNames: vda vdb vdc
# NumNets:    4 NetNames: eth0:?? lo:?? veth68d39b9:10000 docker0:??
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20191206,15:59:35.001,6504924,87866372,140788,70348,144784,38912,3805320,100.00
20191206,15:59:36.001,6547440,87823856,140900,70900,149504,38912,3842104,100.00
20191206,15:59:37.001,6616928,87754368,141044,78856,154140,38912,3904880,100.00
20191206,15:59:38.001,6630240,87741056,141044,79520,159700,38912,3912672,100.00
20191206,15:59:39.001,6664524,87706772,141436,80876,179592,38912,3927936,100.00
20191206,15:59:40.001,6666256,87705040,141756,80712,179640,38912,3929156,100.00
20191206,15:59:41.001,6667556,87703740,141756,80672,179444,38912,3929100,100.00
20191206,15:59:42.001,6668928,87702368,142220,80672,180108,38912,3929100,100.00
20191206,15:59:43.001,6670316,87700980,142220,80672,180108,38912,3929100,100.00
20191206,15:59:44.001,6672220,87699076,142684,80672,180772,38912,3929100,100.00
20191206,15:59:45.001,6674152,87697144,143132,80672,181436,38912,3929100,100.00
20191206,15:59:46.001,6676056,87695240,143584,80672,181436,38912,3929100,100.00
20191206,15:59:47.001,6677868,87693428,144044,80672,181436,38912,3929100,100.00
20191206,15:59:48.001,6680712,87690584,144504,80672,181436,38912,3929100,100.00
20191206,15:59:49.001,6683328,87687968,145424,80672,181436,38912,3929100,100.00
