################################################################################
# Collectl:   V4.3.0-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --cpuopts z -i 1 --sep , -P -f /home/centos/mathieu/brainhackmtl/logs --procfilt P p 
# Host:       vhs-sea-project  DaemonOpts: 
# Booted:     1569957951.67 [20191001-19:25:51]
# Distro:     CentOS Linux release 7.7.1908 (Core)  Platform: 
# Date:       20191218-223832  Secs: 1576708712 TZ: +0000
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 16  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.994 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.10.0-957.12.2.el7.x86_64  Memory: 92641612 kB  Swap: 0 kB
# NumDisks:   3 DiskNames: vda vdb vdc
# NumNets:    4 NetNames: eth0:?? lo:?? veth68d39b9:10000 docker0:??
################################################################################
#Date,Time,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits
20191218,22:38:34.001,6431572,87939724,144284,82044,140908,40960,3723012,100.00
20191218,22:38:35.001,6472020,87899276,144380,85416,150444,43008,3752196,100.00
20191218,22:38:36.001,6544608,87826688,144824,89772,157792,43008,3804352,100.00
20191218,22:38:37.001,6641416,87729880,146372,93308,164544,43008,3883856,100.00
20191218,22:38:38.001,6690052,87681244,147052,93992,198984,43008,3890412,100.00
20191218,22:38:39.001,6743232,87628064,147052,93992,235632,43008,3902216,100.00
20191218,22:38:40.001,6829644,87541652,149748,99096,256532,43008,3952088,100.00
20191218,22:38:41.001,6875964,87495332,151864,102228,270152,43008,3978112,100.00
20191218,22:38:42.001,6880156,87491140,151896,102880,273688,43008,3978188,100.00
20191218,22:38:43.001,6879836,87491460,151728,102772,273400,43008,3978188,100.00
20191218,22:38:44.001,6884672,87486624,151728,102784,278428,43008,3978176,100.00
20191218,22:38:45.001,6932700,87438596,152632,104780,282740,43008,4013184,100.00
20191218,22:38:46.001,6977088,87394208,153532,106772,294756,43008,4038780,100.00
20191218,22:38:47.001,7021208,87350088,154868,108548,306224,43008,4065688,100.00
20191218,22:38:48.001,7062668,87308628,157212,109896,323840,43008,4081368,100.00
20191218,22:38:49.001,7116788,87254508,158444,112600,336868,43008,4110296,100.00
20191218,22:38:50.001,7130696,87240600,159128,113148,352016,47104,4112224,100.00
20191218,22:38:51.001,7131200,87240096,159192,113148,352100,47104,4112968,100.00
20191218,22:38:52.001,7131944,87239352,159208,113148,352224,47104,4113080,100.00
20191218,22:38:53.001,7132068,87239228,159208,113148,352216,47104,4113076,100.00
20191218,22:38:54.001,7132688,87238608,159224,113148,352328,47104,4112988,100.00
20191218,22:38:55.001,7133404,87237892,159228,113148,352384,47104,4112992,100.00
20191218,22:38:56.001,7133964,87237332,159404,113148,352516,47104,4113032,100.00
20191218,22:38:57.001,7134696,87236600,159440,113148,352556,47104,4113044,100.00
20191218,22:38:58.001,7135380,87235916,159608,113148,352644,47104,4113456,100.00
20191218,22:38:59.001,7136096,87235200,159616,113148,352644,47104,4113652,100.00
20191218,22:39:00.001,7136656,87234640,159796,113148,352644,47104,4113276,100.00
20191218,22:39:01.001,7137372,87233924,159864,113148,352652,47104,4113204,100.00
20191218,22:39:02.001,7138136,87233160,160068,113148,352652,47104,4113512,100.00
20191218,22:39:03.001,7139320,87231976,160108,113148,352652,47104,4113460,100.00
20191218,22:39:04.001,7139788,87231508,160400,113148,352652,47104,4113372,100.00
20191218,22:39:05.001,7141160,87230136,160476,113148,352660,47104,4113316,100.00
20191218,22:39:06.001,7142440,87228856,160908,113148,352660,47104,4113140,100.00
20191218,22:39:07.001,7143524,87227772,161052,113148,352664,47104,4113076,100.00
20191218,22:39:08.001,7145676,87225620,161528,113148,352664,47104,4112944,100.00
20191218,22:39:09.001,7147080,87224216,161744,113148,352668,47104,4112916,100.00
20191218,22:39:10.001,7149044,87222252,162332,113148,352668,47104,4112856,100.00
20191218,22:39:11.001,7151384,87219912,163056,113148,352668,47104,4112856,100.00
20191218,22:39:12.001,7161584,87209712,163060,113148,362676,47104,4112852,100.00
20191218,22:39:13.001,7214328,87156968,164420,114476,363756,47104,4152700,100.00
20191218,22:39:14.001,7238772,87132524,164864,114476,363092,47104,4171192,100.00
20191218,22:39:15.001,7241612,87129684,166300,115340,363712,47104,4173720,100.00
20191218,22:39:16.001,7246340,87124956,166308,115340,363712,47104,4177800,100.00
20191218,22:39:17.001,7251420,87119876,166472,115604,363892,47104,4181448,100.00
20191218,22:39:18.001,7257248,87114048,166728,115604,363932,47104,4187592,100.00
20191218,22:39:19.001,7300156,87071140,166728,115604,399252,47104,4183852,100.00
20191218,22:39:20.001,7366028,87005268,167232,115608,464888,47104,4166088,100.00
20191218,22:39:21.001,7390984,86980312,167408,115608,489044,49152,4161608,100.00
20191218,22:39:22.001,7267224,87104072,167404,112952,369772,49152,4160324,100.00
20191218,22:39:23.001,7332796,87038500,167176,113168,431096,45056,4159448,100.00
20191218,22:39:24.001,7353576,87017720,167288,113168,451876,47104,4159324,100.00
20191218,22:39:25.001,7207152,87164144,167288,113168,308576,47104,4132152,100.00
20191218,22:39:26.001,7244572,87126724,167440,113336,308072,47104,4169528,100.00
20191218,22:39:27.001,7244028,87127268,167148,113232,305428,45056,4168992,100.00
