[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
300,0,136934,37,0,0,0,0,457,11,37,3,99
328,0,149238,35,0,0,0,0,455,11,35,3,99
346,0,157475,32,2,15,68,37,453,11,32,3,99
338,0,153435,34,0,0,0,0,454,11,34,3,100
325,0,148168,33,0,0,0,0,455,11,33,3,99
309,0,140835,37,0,0,0,0,455,11,37,3,99
307,0,139584,37,0,0,0,0,454,12,37,3,97
333,0,151847,34,0,0,0,0,456,12,34,3,99
351,0,159356,33,2,1,12,20,452,11,33,3,99
311,0,140559,36,14,1,109,8,433,12,35,3,99
313,0,141790,34,0,0,0,0,452,11,34,3,99
316,0,143500,34,0,0,0,0,455,11,34,3,99
297,0,134470,37,0,0,0,0,452,11,37,3,99
53,0,24634,38,3,18,85,13,437,11,36,3,18
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,205,0,89928,343,439,123,343,4,82
2,0,8,441,313,0,150988,641,480,126,639,3,100
1,0,4,253,274,21,130534,881,475,128,879,4,100
1,0,4,396,316,0,150080,620,473,121,619,3,100
2,0,8,496,253,0,122365,788,481,105,785,4,100
1,0,4,295,284,0,136380,590,479,128,589,4,100
2,0,8,116,223,11,105455,608,468,67,604,3,76
2,0,8,404,262,0,125275,578,475,124,577,4,100
2,0,8,112,280,0,135382,649,480,128,645,4,100
1,0,4,40,262,0,126911,728,482,128,725,4,100
1,0,4,24,251,0,119976,918,476,128,915,4,100
1,0,4,78,324,0,156904,1072,483,131,1069,3,100
1,0,4,58,243,0,116526,854,478,128,851,4,100
1,0,4,163,276,19,131282,824,475,128,822,4,100
2,0,8,106,314,5,145802,792,462,127,788,3,100
1,0,4,65,259,0,124520,738,479,128,735,4,100
1,0,4,1,327,0,154793,974,472,128,971,3,100
2,0,8,126,301,0,143556,811,474,128,806,3,100
0,0,0,0,290,30,139635,975,481,128,975,3,100
2,0,8,75,281,4,131065,646,462,127,642,4,100
1,0,4,69,313,0,150969,803,480,128,800,3,100
0,0,0,0,323,0,153633,817,476,128,817,3,100
4,0,16,151,319,0,152245,619,471,123,613,3,100
