[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
579,0,263242,21,0,0,0,0,455,12,21,2,98
550,0,250360,21,0,0,0,0,455,12,21,2,98
579,0,263656,20,2,10,48,20,454,11,20,2,98
576,0,262144,19,0,0,0,0,455,12,19,2,96
575,0,261640,20,0,0,0,0,455,12,20,2,98
592,0,269152,20,0,0,0,0,455,12,20,2,98
577,0,262734,20,0,0,0,0,455,12,20,2,98
581,0,264552,20,2,1,12,32,454,12,20,2,97
571,0,260114,21,0,0,0,0,456,12,21,2,98
584,0,265427,20,0,0,0,0,455,12,20,2,97
578,0,262999,19,0,0,0,0,455,12,19,2,97
608,0,276734,19,0,0,0,0,455,12,19,2,98
599,0,273087,19,0,0,0,0,456,12,19,2,98
580,0,263720,20,2,1,12,32,453,12,20,2,98
583,0,265232,20,0,0,0,0,455,12,20,2,98
541,0,246264,21,0,0,0,0,455,11,21,2,99
349,0,158580,20,0,0,0,0,454,12,20,2,58
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,5,6,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,4,6,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,118126,28,0,0,0,0,456,11,28,3,70
385,0,175120,28,0,0,0,0,455,11,28,3,99
487,0,221688,25,0,0,0,0,455,12,25,2,99
378,0,172032,29,0,0,0,0,455,11,29,3,98
362,0,164408,31,4,3,28,28,449,11,31,3,99
387,0,176568,28,0,0,0,0,456,11,28,3,98
377,0,171528,28,0,0,0,0,455,10,28,3,99
376,0,170714,29,0,0,0,0,454,11,29,3,99
328,0,149485,34,0,0,0,0,456,11,34,3,99
327,0,148528,32,7,1,32,35,445,11,32,3,98
