[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
584,0,265312,20,0,0,0,0,455,12,20,2,97
576,0,262144,20,0,0,0,0,455,12,20,2,97
563,0,256472,21,0,0,0,0,456,12,21,2,97
574,0,261136,20,0,0,0,0,455,12,20,2,98
601,0,273424,19,2,8,40,24,454,12,19,2,97
581,0,264664,20,0,0,0,0,456,12,20,2,98
578,0,262712,20,0,0,0,0,455,12,20,2,98
578,0,263152,20,0,0,0,0,455,12,20,2,98
605,0,275440,18,0,0,0,0,455,11,18,2,98
577,0,262648,20,0,0,0,0,455,12,20,2,97
591,0,268824,19,2,1,12,14,453,11,19,2,98
594,0,270336,20,0,0,0,0,455,12,20,2,98
573,0,260632,20,0,0,0,0,455,12,20,2,96
561,0,255479,20,0,0,0,0,455,12,20,2,98
546,0,248227,20,0,0,0,0,455,12,20,2,97
589,0,268095,20,0,0,0,0,455,12,20,2,97
588,0,267911,20,2,1,12,29,454,12,20,2,98
584,0,265609,20,8,1,36,1,449,12,20,2,98
598,0,272201,20,0,0,0,0,455,12,20,2,99
592,0,269675,19,0,0,0,0,455,11,19,2,97
603,0,274185,19,0,0,0,0,455,11,19,2,98
570,0,259124,19,0,0,0,0,455,12,19,2,91
0,0,0,0,2,1,12,8,6,1,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,6,6,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,3,24,4,8,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,40599,34,0,0,0,0,455,11,34,3,29
349,0,158852,33,0,0,0,0,455,12,33,3,99
369,0,168103,30,0,0,0,0,456,12,30,3,99
400,0,182058,28,0,0,0,0,456,11,28,2,99
311,0,140599,36,2,1,12,38,450,11,36,3,99
349,0,159309,31,0,0,0,0,456,11,31,3,99
330,0,150253,32,0,0,0,0,455,11,32,3,99
329,0,149757,35,0,0,0,0,455,12,35,3,99
359,0,163336,31,0,0,0,0,455,11,31,3,99
326,0,148464,35,0,0,0,0,455,12,35,3,99
303,0,138095,36,2,1,12,24,453,11,36,3,98
373,0,169355,31,0,0,0,0,454,11,31,3,99
376,0,171167,28,0,0,0,0,455,11,28,3,99
316,0,143500,34,0,0,0,0,455,11,34,3,99
365,0,166103,30,0,0,0,0,455,11,30,3,98
388,0,176976,31,0,0,0,0,456,12,31,3,99
368,0,167167,31,5,1,24,19,448,11,31,3,98
331,0,151084,33,0,0,0,0,456,12,33,3,98
333,0,151655,33,0,0,0,0,455,11,33,3,99
365,0,165920,30,0,0,0,0,455,11,30,3,98
304,0,138256,38,0,0,0,0,455,11,38,3,100
352,0,160340,30,0,0,0,0,456,11,30,3,99
361,0,164145,31,2,2,16,50,452,11,31,3,99
353,0,160892,29,0,0,0,0,455,10,29,3,99
378,0,172047,29,0,0,0,0,455,11,29,3,98
321,0,146121,36,0,0,0,0,455,12,36,3,99
322,0,146448,34,0,0,0,0,455,11,34,3,99
293,0,133565,38,0,0,0,0,455,11,38,3,97
303,0,137830,36,2,1,12,36,452,11,36,3,99
331,0,150751,32,0,0,0,0,455,11,32,3,99
335,0,152372,31,0,0,0,0,455,11,31,3,99
314,0,142856,35,2,0,8,0,452,11,35,3,98
300,0,136680,36,0,0,0,0,456,11,36,3,99
317,0,144368,35,0,0,0,0,455,11,35,3,98
334,0,152056,34,3,3,24,46,451,11,34,3,99
347,0,157728,32,0,0,0,0,455,11,32,3,99
394,0,179216,27,0,0,0,0,455,11,27,2,98
375,0,170988,28,0,0,0,0,455,11,28,3,98
134,0,60427,32,0,0,0,0,451,10,32,3,40
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,4,8,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,4,6,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,2,24,3,8,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,0,0,0,0,0,12,0,0,0,0
124,0,56960,23,0,0,0,0,458,10,23,2,30
340,0,154556,31,0,0,0,0,454,11,31,3,99
313,0,142775,37,0,0,0,0,456,12,37,3,99
336,0,153002,32,2,4,24,40,452,11,32,3,99
323,0,146929,34,0,0,0,0,456,11,34,3,99
413,0,187691,30,0,0,0,0,455,12,30,2,98
390,0,177303,32,0,0,0,0,455,12,32,3,99
357,0,162573,32,0,0,0,0,456,11,32,3,99
371,0,169150,31,0,0,0,0,455,12,31,3,99
400,0,181887,27,2,1,12,33,452,11,27,2,99
338,0,153632,34,0,0,0,0,455,11,34,3,99
389,0,177136,28,0,0,0,0,455,11,28,3,99
368,0,167432,33,2,0,8,8,453,12,32,3,98
394,0,179656,28,0,0,0,0,456,11,28,3,99
384,0,174616,30,3,3,24,33,451,12,30,3,99
327,0,148968,33,0,0,0,0,456,11,33,3,99
346,0,157224,32,0,0,0,0,454,11,32,3,98
337,0,153499,31,1,0,8,1,454,11,31,3,98
311,0,141753,34,0,0,0,0,455,11,34,3,99
336,0,153002,33,0,0,0,0,455,11,33,3,97
414,0,188537,27,2,4,24,28,454,12,27,2,99
370,0,168440,32,0,0,0,0,455,12,32,3,98
353,0,160547,29,0,0,0,0,455,11,29,3,99
327,0,148962,33,0,0,0,0,455,11,33,3,99
344,0,156553,29,0,0,0,0,455,10,29,3,96
359,0,163336,29,2,1,12,12,452,11,29,3,98
358,0,162637,30,0,0,0,0,455,11,30,3,98
416,0,189424,26,1,0,8,0,454,11,26,2,98
325,0,147960,34,0,0,0,0,455,11,34,3,99
364,0,165856,30,0,0,0,0,456,11,30,3,100
318,0,144872,36,0,0,0,0,456,11,36,3,99
340,0,154200,32,2,4,24,18,451,11,32,3,98
320,0,145880,34,0,0,0,0,456,11,34,3,98
361,0,164126,29,0,0,0,0,455,10,29,3,98
304,0,138380,36,0,0,0,0,456,11,36,3,99
468,0,212992,23,0,0,0,0,455,11,23,2,98
256,0,116193,32,0,0,0,0,454,12,32,3,69
0,0,0,0,5,2,28,2,6,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,2,3,20,4,10,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,8,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,3,24,4,8,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,6,6,0,6,0,0
