[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
566,0,256544,21,22,47,300,16,437,12,21,2,99
575,0,262080,20,0,0,0,0,456,12,20,2,98
565,0,256582,21,0,0,0,0,454,12,21,2,98
565,0,257297,21,0,0,0,0,455,12,21,2,98
552,0,251373,20,2,12,56,22,454,11,20,2,97
566,0,256511,20,14,0,97,1,442,12,20,2,98
578,0,262931,20,0,0,0,0,455,12,20,2,98
106,0,48153,19,0,0,0,0,456,11,19,2,18
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,19,89,2,29,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,61,114,3,46873,77,408,125,77,2,21
1,0,4,113,259,0,124905,645,481,128,643,4,100
0,0,0,0,291,0,140848,882,483,128,882,3,100
1,0,4,68,323,2,155168,752,479,129,750,3,100
1,0,4,25,318,1,153010,812,480,128,809,3,100
1,0,4,52,397,13,191000,754,480,110,752,2,97
0,0,0,0,1,0,4,55,4,0,55,0,0
2,0,8,1,0,0,0,0,4,1,1,1,0
1,0,4,114,223,15,106353,294,475,129,293,4,79
1,0,4,229,317,0,152442,813,480,128,811,3,100
3,0,12,83,266,0,128584,912,478,128,902,5,136
1,0,4,5,315,0,151439,735,479,128,733,3,100
1,0,4,23,287,0,138405,744,481,128,741,3,100
2,0,8,110,317,0,154618,925,484,128,920,3,100
2,0,8,16,440,3,210608,577,477,128,575,2,100
1,0,4,24,471,0,223555,625,473,128,624,2,100
2,0,8,23,502,1,239202,509,475,127,507,2,100
1,0,4,15,312,1,150753,681,482,128,679,3,100
1,0,4,36,301,0,141946,834,470,128,832,3,100
2,0,8,10,314,0,148207,782,469,128,777,3,100
1,0,4,25,419,33,202158,660,481,128,658,2,100
2,0,8,68,410,0,195040,639,474,128,636,2,100
1,0,4,45,329,0,158269,684,480,128,682,3,100
1,0,4,34,351,0,168384,761,478,128,759,3,100
