[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
569,0,259113,21,0,0,0,0,456,12,21,2,98
580,0,264031,21,0,0,0,0,455,12,21,2,97
577,0,261801,21,18,17,142,8,440,12,20,2,98
571,0,260032,20,0,0,0,0,455,12,20,2,98
578,0,262211,20,0,0,0,0,454,11,20,2,98
577,0,262564,20,0,0,0,0,455,12,20,2,98
367,0,167190,19,0,0,0,0,455,11,19,2,63
0,0,0,0,1,0,24,0,24,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,6,31,5,16,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,111002,29,1,0,24,0,452,10,29,3,73
327,0,148945,34,0,0,0,0,455,11,34,3,99
325,0,148080,35,2,6,32,32,453,11,35,3,99
389,0,177191,30,0,0,0,0,455,12,30,3,99
330,0,150147,36,0,0,0,0,455,12,36,3,99
414,0,187030,26,1,0,8,7,450,11,26,2,99
330,0,150051,33,0,0,0,0,455,11,33,3,99
382,0,174214,29,2,5,28,48,454,11,29,3,99
321,0,145638,35,0,0,0,0,454,11,35,3,100
336,0,152866,33,0,0,0,0,455,11,33,3,98
354,0,160896,31,2,0,32,12,452,11,30,3,99
424,0,192783,29,0,0,0,0,455,12,29,2,99
116,0,52805,33,0,0,0,0,457,11,33,3,33
0,0,0,0,2,8,40,4,20,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,140547,21,0,0,0,0,456,10,21,2,66
518,0,235732,21,0,0,0,0,455,11,21,2,98
299,0,134731,35,6,3,47,15,443,11,35,3,99
286,0,130540,39,0,0,0,0,456,11,39,3,99
316,0,143936,38,0,0,0,0,455,12,38,3,99
344,0,156181,35,0,0,0,0,454,12,35,3,99
386,0,175776,29,0,0,0,0,455,11,29,3,99
295,0,134600,39,6,11,76,23,447,12,38,3,98
427,0,194413,25,0,0,0,0,455,11,25,2,99
317,0,144000,35,0,0,0,0,454,11,35,3,99
380,0,173010,31,0,0,0,0,456,12,31,3,99
369,0,168040,29,0,0,0,0,456,11,29,3,99
51,0,22828,48,23,13,156,14,312,12,38,3,19
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,0,0,0,0,4,1,1,1,0
0,0,0,0,4,13,89,3,22,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
