[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
288,0,131094,35,2,13,61,30,453,11,35,3,96
318,0,144638,34,0,0,0,0,455,11,34,3,99
327,0,148645,34,0,0,0,0,455,11,34,3,99
344,0,156395,33,0,0,0,0,455,12,33,3,98
303,0,137752,35,0,0,0,0,455,11,35,3,99
276,0,123162,39,27,19,236,30,407,11,38,3,99
334,0,151856,33,0,0,0,0,455,11,33,3,99
327,0,148876,32,0,0,0,0,456,11,32,3,96
331,0,150900,33,0,0,0,0,455,11,33,3,99
342,0,155460,31,0,0,0,0,454,11,31,3,99
305,0,138613,35,18,2,87,8,429,11,33,3,98
378,0,171571,30,0,0,0,0,454,11,30,3,99
380,0,173355,32,2,8,40,25,453,12,31,3,99
348,0,158419,31,0,0,0,0,455,11,31,3,98
18,0,8200,29,0,0,0,0,455,6,29,3,5
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,0,32,0,5,0,0,0,0
0,0,0,0,2,5,28,4,14,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,125786,24,0,0,0,0,455,12,24,2,62
386,0,175277,26,0,0,0,0,454,10,26,3,99
342,0,155530,32,2,3,20,35,453,11,32,3,98
352,0,160178,30,0,0,0,0,455,11,30,3,98
364,0,165596,32,0,0,0,0,455,12,32,3,99
363,0,164176,30,0,0,0,0,453,11,30,3,98
316,0,143791,35,0,0,0,0,455,11,35,3,99
315,0,144088,35,0,0,0,0,457,11,35,3,99
381,0,172961,31,2,2,16,42,452,12,31,3,99
424,0,192899,30,0,0,0,0,455,13,30,2,99
396,0,179716,32,0,0,0,0,454,13,32,3,100
349,0,158900,32,0,0,0,0,456,11,32,3,97
297,0,135033,37,0,0,0,0,455,11,37,3,99
46,0,20708,38,0,0,0,0,455,10,38,4,16
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,8,8,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,46890,24,0,0,0,0,458,12,24,2,23
312,0,142488,37,2,2,16,32,454,11,37,3,100
345,0,157349,33,0,0,0,0,456,12,33,3,99
419,0,190373,28,0,0,0,0,455,12,28,2,99
401,0,182219,29,0,0,0,0,455,12,29,2,99
331,0,150439,35,0,0,0,0,455,12,35,3,99
340,0,154720,33,0,0,0,0,455,11,33,3,99
339,0,154656,33,1,0,16,10,455,12,33,3,98
359,0,163279,31,2,5,28,22,452,11,31,3,99
393,0,178874,30,0,0,0,0,455,12,30,3,99
341,0,154791,32,0,0,0,0,454,11,32,3,99
442,0,201547,26,0,0,0,0,456,12,26,2,99
387,0,175898,27,9,0,43,5,445,11,27,3,99
94,0,42629,35,3,8,45,11,438,11,34,3,29
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,28,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,7,36,4,18,0,4,0,0
