[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
56,0,22535,25,1,0,8,0,394,9,25,3,19
338,0,153522,34,0,0,0,0,455,12,34,3,99
335,0,152560,34,2,11,52,41,453,11,34,3,99
305,0,138986,37,0,0,0,0,455,11,37,3,99
368,0,167598,29,0,0,0,0,455,11,29,3,98
312,0,141664,32,1,0,12,6,452,11,32,3,97
325,0,148048,33,0,0,0,0,455,10,33,3,99
319,0,145454,34,0,0,0,0,456,11,34,3,99
404,0,183816,28,2,5,28,46,453,11,28,2,99
394,0,179284,28,0,0,0,0,455,11,28,3,99
347,0,158227,30,0,0,0,0,456,11,30,3,99
396,0,180298,28,0,0,0,0,455,11,28,2,99
357,0,162572,31,0,0,0,0,455,11,31,3,99
328,0,149039,33,0,0,0,0,455,11,33,3,99
416,0,189357,29,2,2,16,18,453,12,29,2,99
280,0,126992,42,36,133,680,82,403,15,47,3,99
298,0,135439,37,0,0,0,0,455,11,37,3,99
346,0,157100,32,0,0,0,0,455,11,32,3,99
368,0,168040,30,0,0,0,0,456,11,30,3,98
362,0,164429,30,0,0,0,0,454,11,30,3,99
315,0,143211,34,2,5,28,54,452,11,34,3,100
339,0,154573,32,0,0,0,0,456,11,32,3,100
337,0,153551,30,0,0,0,0,456,10,30,3,99
369,0,166682,32,0,0,0,0,452,12,32,3,99
342,0,155749,31,0,0,0,0,456,11,31,3,99
385,0,174734,29,1,0,8,14,453,11,29,3,99
338,0,153790,32,2,7,36,39,453,11,32,3,99
362,0,163968,32,0,0,0,0,453,12,32,3,99
502,0,228391,21,0,0,0,0,455,11,21,2,99
396,0,180153,28,0,0,0,0,455,11,28,3,99
353,0,159933,32,5,0,59,2,447,11,31,3,99
360,0,163915,32,0,0,0,0,456,12,32,3,99
315,0,143436,35,2,13,60,38,453,11,35,3,99
307,0,138689,36,0,0,0,0,452,11,36,3,99
311,0,141689,35,0,0,0,0,455,11,35,3,99
344,0,156465,31,1,0,8,0,454,11,31,3,98
409,0,186204,30,0,0,0,0,455,12,30,2,100
152,0,68860,29,0,0,0,0,452,11,29,2,38
0,0,0,0,3,4,28,4,9,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,1,0,16,0,8,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,6,32,4,16,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,5,60,3,20,1,3,0,0
2,0,8,84,196,3,81042,190,409,125,189,3,59
2,0,8,304,268,0,127554,811,472,130,807,4,100
1,0,4,98,248,0,120954,827,485,130,824,4,100
2,0,8,73,351,0,165649,810,469,128,806,3,100
1,0,4,14,350,0,168852,664,481,128,662,3,100
2,0,8,21,374,36,177586,781,473,131,777,3,100
1,0,4,17,272,0,130312,916,478,128,912,4,100
1,0,4,65,342,0,162264,683,474,128,682,3,100
1,0,4,141,352,0,168410,770,477,129,768,3,100
2,0,8,22,365,0,175964,749,479,128,745,3,100
1,0,4,36,343,0,164000,688,476,128,686,3,102
1,0,4,43,371,0,176635,676,475,128,675,3,100
3,0,12,101,384,0,184655,634,477,128,630,3,100
1,0,4,50,356,0,169576,650,476,128,649,3,101
1,0,4,44,301,0,145441,842,481,129,839,3,100
1,0,4,11,386,1,185467,688,479,128,686,3,100
2,0,8,36,425,0,203681,606,477,128,603,2,100
1,0,4,38,348,0,165176,685,473,128,683,3,100
2,0,8,16,385,40,178469,609,461,128,606,3,100
1,0,4,145,366,0,172996,725,472,128,724,3,100
1,0,4,73,318,0,152410,770,478,129,767,3,100
1,0,4,44,302,0,143124,689,473,128,687,3,100
2,0,8,36,348,1,166855,607,476,129,604,3,100
2,0,8,97,354,0,168838,984,475,128,979,3,100
2,0,8,64,369,0,177833,653,480,128,650,3,100
3,0,56,177,325,1,156663,766,477,128,760,3,100
2,0,12,60,301,0,143202,825,472,131,820,3,100
2,0,8,76,325,0,154996,731,473,128,727,3,100
1,0,4,32,381,0,182873,759,479,131,757,3,100
2,0,8,38,377,0,179609,668,474,128,665,3,100
1,0,4,35,389,0,185366,624,475,128,623,3,100
0,0,0,0,273,33,130285,704,477,102,704,2,61
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,6,0,0,0,0,4,1,6,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,154,274,6,130412,330,473,124,329,3,95
1,0,4,65,336,0,161202,755,479,128,753,3,100
1,0,4,44,316,0,152410,735,480,128,733,3,100
1,0,4,28,349,0,167913,857,479,130,855,3,100
0,0,0,0,172,0,81922,801,477,84,801,3,53
0,0,0,0,2,11,52,4,26,1,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,12,61,215,39,91802,195,421,124,193,2,53
1,0,4,65,319,0,152709,652,478,128,650,3,100
2,0,8,62,401,0,192304,676,477,128,673,2,100
2,0,8,117,351,26,169494,673,480,128,670,3,100
1,0,4,58,372,0,176384,582,472,128,581,3,100
4,0,16,411,322,0,154631,828,474,128,823,3,100
3,0,12,77,339,0,160906,716,471,128,711,3,100
2,0,8,80,536,0,257505,538,479,129,536,2,100
1,0,4,7,374,0,179726,579,480,130,578,3,100
1,0,4,86,344,0,164614,731,477,131,729,3,100
3,0,12,72,336,0,161178,690,475,128,685,3,100
1,0,4,58,378,0,182552,746,482,128,744,3,100
